iter	RMSE
0	3897.668312
1	3356.025199
2	2944.314476
3	2628.498563
4	2386.79976
5	2211.753785
6	2076.247022
7	1983.714212
8	1908.176042
9	1853.445438
10	1810.592623
11	1774.007483
12	1747.262826
13	1725.618839
14	1704.836475
15	1689.985434
16	1674.359143
17	1662.89033
18	1651.336906
19	1643.17332
20	1636.719542
21	1625.592783
22	1619.48492
23	1614.407852
24	1609.625578
25	1603.59582
26	1598.390747
27	1593.793794
28	1590.445891
29	1583.744744
30	1579.794721
31	1576.181706
32	1571.936574
33	1568.516133
34	1566.387735
35	1562.125395
36	1558.81726
37	1553.660599
38	1551.732678
39	1547.434581
40	1543.061768
41	1538.385495
42	1535.870867
43	1533.948334
44	1528.337487
45	1524.756436
46	1521.285423
47	1515.650044
48	1508.63401
49	1504.820031
50	1501.310708
51	1498.801469
52	1497.046442
53	1493.05055
54	1488.613194
55	1484.631105
56	1481.443354
57	1479.820885
58	1476.767282
59	1474.324963
60	1472.57094
61	1470.074349
62	1466.675915
63	1463.714279
64	1460.0873
65	1458.590342
66	1455.803083
67	1452.989744
68	1450.888744
69	1448.131607
70	1446.004281
71	1443.990885
72	1441.057628
73	1438.890949
74	1436.086761
75	1431.635432
76	1428.72215
77	1426.300998
78	1424.109369
79	1421.892291
80	1420.291773
81	1416.862748
82	1413.830034
83	1411.527495
84	1411.21979
85	1408.488469
86	1406.622042
87	1404.696654
88	1402.830876
89	1400.603316
90	1399.575909
91	1397.44581
92	1395.496302
93	1391.929095
94	1390.116816
95	1389.534244
96	1387.63373
97	1385.175132
98	1382.775385
99	1381.698539
