iter	Passed	Remaining
0	107	10593
1	183	8981
2	294	9515
3	381	9157
4	459	8729
5	533	8359
6	607	8077
7	678	7807
8	757	7657
9	828	7459
10	923	7469
11	1000	7337
12	1076	7205
13	1151	7072
14	1224	6939
15	1298	6818
16	1375	6714
17	1448	6596
18	1519	6475
19	1593	6374
20	1669	6281
21	1745	6187
22	1817	6084
23	1890	5985
24	1966	5900
25	2042	5813
26	2121	5735
27	2194	5642
28	2272	5564
29	2347	5477
30	2422	5393
31	2495	5303
32	2569	5217
33	2648	5142
34	2720	5052
35	2800	4977
36	2872	4891
37	2950	4814
38	3025	4732
39	3103	4655
40	3181	4578
41	3255	4495
42	3331	4416
43	3405	4334
44	3482	4255
45	3560	4179
46	3647	4112
47	3726	4037
48	3814	3970
49	3895	3895
50	3976	3821
51	4055	3743
52	4133	3665
53	4212	3588
54	4290	3510
55	4372	3435
56	4453	3359
57	4531	3281
58	4612	3205
59	4692	3128
60	4771	3050
61	4861	2979
62	4941	2901
63	5022	2825
64	5102	2747
65	5193	2675
66	5318	2619
67	5415	2548
68	5497	2469
69	5581	2391
70	5665	2314
71	5754	2237
72	5839	2159
73	5920	2080
74	5999	1999
75	6080	1920
76	6159	1839
77	6242	1760
78	6332	1683
79	6411	1602
80	6492	1522
81	6571	1442
82	6654	1362
83	6736	1283
84	6805	1200
85	6891	1121
86	6969	1041
87	7050	961
88	7131	881
89	7212	801
90	7253	717
91	7332	637
92	7411	557
93	7490	478
94	7569	398
95	7647	318
96	7727	238
97	7807	159
98	7886	79
99	7968	0
