iter	Logloss
0	0.683327267
1	0.6725393603
2	0.6642654121
3	0.6556711887
4	0.6481097593
5	0.6402568994
6	0.6332360887
7	0.6265071566
8	0.6195607709
9	0.6131207952
10	0.6060962547
11	0.5990819605
12	0.5933619749
13	0.5881932788
14	0.5832598083
15	0.5788094047
16	0.5744083215
17	0.5698245591
18	0.5659465938
19	0.5619207988
20	0.5577603495
21	0.5543784858
22	0.551050312
23	0.5476982017
24	0.5453892151
25	0.5424080422
26	0.5396706679
27	0.5366565248
28	0.5340444408
29	0.5316645043
30	0.5293545796
31	0.5262950031
32	0.5240524012
33	0.5217685101
34	0.5191765708
35	0.5172975421
36	0.515419412
37	0.513486456
38	0.5117227266
39	0.5101062589
40	0.5086891092
41	0.5067124046
42	0.5047613003
43	0.5037786718
44	0.5021457278
45	0.5007682602
46	0.4997186263
47	0.4985213862
48	0.4964815609
49	0.4953541044
50	0.4941406552
51	0.4922879102
52	0.4912129266
53	0.4900728678
54	0.4892283129
55	0.4883389054
56	0.4866133872
57	0.4851999015
58	0.4840832489
59	0.4825283486
60	0.4810307712
61	0.4800441595
62	0.479291079
63	0.4784122548
64	0.4777493737
65	0.4768527756
66	0.4760040583
67	0.475311572
68	0.4746130323
69	0.4738920894
70	0.4727352125
71	0.4719289463
72	0.4713025069
73	0.4701796117
74	0.4692593809
75	0.4687314292
76	0.4679287178
77	0.4672779755
78	0.4666256378
79	0.4656066278
80	0.4654172121
81	0.4648858316
82	0.4643489243
83	0.4637642106
84	0.4631742809
85	0.4626669994
86	0.4620735116
87	0.4610235938
88	0.4605949672
89	0.4601670399
90	0.4596643836
91	0.4591873122
92	0.458812661
93	0.4580378305
94	0.4569918652
95	0.456228617
96	0.4555136035
97	0.4550513993
98	0.4544157468
99	0.4540032253
100	0.4536966776
101	0.4531368841
102	0.4526951509
103	0.4522549648
104	0.4518870814
105	0.4515216463
106	0.4512093506
107	0.4508569385
108	0.4504152899
109	0.4498760595
110	0.4494542183
111	0.4491553031
112	0.4488819841
113	0.4485757181
114	0.4478850901
115	0.447298916
116	0.446992765
117	0.4462821344
118	0.4458226545
119	0.4454038729
120	0.4451237964
121	0.4449216198
122	0.4448501403
123	0.4442186789
124	0.4437788932
125	0.4435750456
126	0.4432197335
127	0.4428237584
128	0.4426152617
129	0.4424170729
130	0.4415892081
131	0.4411383442
132	0.4408144623
133	0.4403501597
134	0.4399061325
135	0.4396366532
136	0.4393366443
137	0.439005527
138	0.4387455303
139	0.4382447909
140	0.4378485223
141	0.4375110802
142	0.4372657455
143	0.4368863657
144	0.4368719835
145	0.436611088
146	0.4363142514
147	0.4359647756
148	0.4357423642
149	0.4353623204
150	0.4350112633
151	0.4347335954
152	0.4344906827
153	0.4339749687
154	0.4337583482
155	0.4334466181
156	0.4331453275
157	0.4328413038
158	0.4324471806
159	0.4322123463
160	0.4316961846
161	0.4314158807
162	0.4310337104
163	0.4307984545
164	0.43062346
165	0.4301801048
166	0.4299816191
167	0.4298946681
168	0.4295649386
169	0.4294108066
170	0.429205481
171	0.4288980584
172	0.4285471227
173	0.4283004169
174	0.4281293907
175	0.4279608384
176	0.4276326042
177	0.4273513716
178	0.4271290434
179	0.4269071912
180	0.4266752608
181	0.4264606628
182	0.4261221252
183	0.4256211529
184	0.4253998625
185	0.4252933566
186	0.4250089938
187	0.424847153
188	0.4245526814
189	0.4243818029
190	0.4241569222
191	0.4237967777
192	0.4235771942
193	0.4233471358
194	0.4231334649
195	0.422829345
196	0.422593605
197	0.4223987628
198	0.4222067718
199	0.42179967
200	0.421785807
201	0.4215229095
202	0.4214472331
203	0.4211995582
204	0.4210372653
205	0.4207570631
206	0.4205689259
207	0.4204077332
208	0.420156748
209	0.4195618806
210	0.4194389182
211	0.4192543049
212	0.4190373886
213	0.4188705527
214	0.4184954674
215	0.4183133198
216	0.418099012
217	0.4178780962
218	0.4177186256
219	0.4173763156
220	0.4170907885
221	0.4168842079
222	0.4167134466
223	0.4164407827
224	0.4161509954
225	0.4155619435
226	0.4154065667
227	0.4152074236
228	0.4151267427
229	0.4148603887
230	0.414660782
231	0.4144389013
232	0.4141972818
233	0.4141346289
234	0.4139248184
235	0.4137518629
236	0.4135942257
237	0.4135319589
238	0.4133871851
239	0.4132521621
240	0.4130374814
241	0.4126292884
242	0.4123844316
243	0.4120916169
244	0.4118507744
245	0.4114837344
246	0.4113362699
247	0.4111883334
248	0.4109529457
249	0.4108166352
250	0.4106543194
251	0.410402431
252	0.4101591997
253	0.4099340858
254	0.4096447737
255	0.4094443105
256	0.4089760042
257	0.4088806057
258	0.4086573204
259	0.4082705396
260	0.4080869928
261	0.4077530426
262	0.4076214215
263	0.4074312513
264	0.4072038112
265	0.4069465695
266	0.4066873257
267	0.4065088554
268	0.4063524735
269	0.4061553373
270	0.4059964622
271	0.4057085009
272	0.4054505984
273	0.4051175294
274	0.4050282963
275	0.4048893334
276	0.4047605846
277	0.4045329151
278	0.4044329703
279	0.404229412
280	0.4038831551
281	0.4036373983
282	0.4034604831
283	0.4030593318
284	0.4027930268
285	0.4026031675
286	0.4024027962
287	0.402226365
288	0.4019446901
289	0.4017445161
290	0.4015297938
291	0.4013722817
292	0.4012755021
293	0.4010680246
294	0.4008817535
295	0.4008117165
296	0.4005973694
297	0.4004044362
298	0.4001838883
299	0.4000934111
300	0.3998827252
301	0.3997952334
302	0.3994863348
303	0.3992254168
304	0.3989658251
305	0.3988680894
306	0.3986890725
307	0.3984410606
308	0.3982163031
309	0.3979954582
310	0.39777809
311	0.3976083871
312	0.3973575484
313	0.3972192648
314	0.396953386
315	0.3968476403
316	0.3967299138
317	0.3967282198
318	0.3963684498
319	0.3960827434
320	0.3957827485
321	0.3956512097
322	0.3954799316
323	0.3952668856
324	0.3950776479
325	0.3948217509
326	0.3947409921
327	0.3945931813
328	0.3942827093
329	0.3941354651
330	0.3939581634
331	0.3937717718
332	0.3935666609
333	0.3933832522
334	0.393154701
335	0.3930192605
336	0.3926737358
337	0.3924184279
338	0.3921893998
339	0.3920170664
340	0.3919158927
341	0.3917777587
342	0.3915027637
343	0.3913943783
344	0.3911869561
345	0.3910109316
346	0.3906625322
347	0.3904433431
348	0.3903136993
349	0.3901286461
350	0.3899160771
351	0.3897939629
352	0.3896080724
353	0.3894348882
354	0.3892986689
355	0.3891080935
356	0.388947698
357	0.388829434
358	0.3885417146
359	0.3882998368
360	0.3882514765
361	0.3880650772
362	0.3877530622
363	0.3875110079
364	0.3873238053
365	0.3871975757
366	0.3869946837
367	0.3868770538
368	0.3867176895
369	0.3865518938
370	0.3863803014
371	0.386215281
372	0.3859963797
373	0.3858105568
374	0.385573624
375	0.3853368599
376	0.3851551927
377	0.3848391577
378	0.3845067895
379	0.3843690825
380	0.3842192688
381	0.3839913635
382	0.3838370522
383	0.3836854172
384	0.3834456253
385	0.3832745793
386	0.383182677
387	0.3830319691
388	0.38286354
389	0.3826904239
390	0.3825218376
391	0.3824159778
392	0.3822767727
393	0.3821400784
394	0.3818903313
395	0.3817474074
396	0.3815467886
397	0.3814021425
398	0.3812691465
399	0.3809186646
400	0.3807257408
401	0.3805653508
402	0.3804451312
403	0.3802839903
404	0.3800867454
405	0.3799043406
406	0.3796015495
407	0.3792536806
408	0.3790877506
409	0.378958282
410	0.3788187727
411	0.3785478439
412	0.3783671749
413	0.3782372539
414	0.3778762832
415	0.3778030318
416	0.3774167237
417	0.3772669129
418	0.3769979157
419	0.3767135316
420	0.3765604465
421	0.3763732282
422	0.3760969934
423	0.3759077355
424	0.3755752185
425	0.3753579059
426	0.3750780136
427	0.3748942082
428	0.3746973348
429	0.3744923525
430	0.3743605085
431	0.3741309147
432	0.3739918249
433	0.3738083596
434	0.373617448
435	0.3734082742
436	0.3732285227
437	0.3731001612
438	0.3729215424
439	0.3723847565
440	0.3723177015
441	0.3721415396
442	0.3720007175
443	0.3718272541
444	0.3716039508
445	0.3713255829
446	0.371176272
447	0.3709224841
448	0.3704473338
449	0.3702532696
450	0.3701152429
451	0.370004981
452	0.3698477914
453	0.3695569367
454	0.3692672889
455	0.3686482083
456	0.3684265612
457	0.3680236607
458	0.3675044792
459	0.3672769949
460	0.3671478707
461	0.366867641
462	0.3667021297
463	0.3664667354
464	0.366290602
465	0.3661112101
466	0.3659974182
467	0.3658241653
468	0.3656192438
469	0.3654890057
470	0.3653242694
471	0.3651157389
472	0.364998497
473	0.3648581138
474	0.364713211
475	0.3645134887
476	0.3643278145
477	0.3641763068
478	0.3641168044
479	0.3637873756
480	0.3635210264
481	0.3633218004
482	0.3631417561
483	0.3630043341
484	0.3624326768
485	0.3622306615
486	0.3620339787
487	0.361896431
488	0.3617283795
489	0.3613971357
490	0.3609207418
491	0.3607373263
492	0.3606095158
493	0.3603797031
494	0.3601263094
495	0.3600151628
496	0.359805009
497	0.359617795
498	0.3590799226
499	0.3589315992
500	0.3587663362
501	0.3585083612
502	0.3580681707
503	0.3578299767
504	0.3576835329
505	0.3574006663
506	0.3571431273
507	0.3568225301
508	0.3565925127
509	0.3565005006
510	0.3559788589
511	0.3558198441
512	0.3556359108
513	0.3555197821
514	0.3553124739
515	0.3550231955
516	0.3548831123
517	0.3547378882
518	0.3546273187
519	0.3544316727
520	0.3541848251
521	0.3540858709
522	0.3539149365
523	0.3537095109
524	0.3535827233
525	0.3533600089
526	0.3532669681
527	0.3528608947
528	0.3527123928
529	0.3525675864
530	0.3524582262
531	0.3521516915
532	0.351871052
533	0.3516025702
534	0.3511341435
535	0.3506217307
536	0.3504012829
537	0.3501776133
538	0.350038623
539	0.3499053209
540	0.349815045
541	0.3496216869
542	0.3493554015
543	0.3490006722
544	0.3487462
545	0.3484937097
546	0.3482829641
547	0.3481901199
548	0.3477110979
549	0.3474294271
550	0.3472392852
551	0.3470784447
552	0.3469213227
553	0.34674674
554	0.346547735
555	0.3463090918
556	0.3459318873
557	0.3456217182
558	0.345435539
559	0.3449967011
560	0.344851194
561	0.3446921226
562	0.3444608891
563	0.3442355635
564	0.3439025893
565	0.3437280385
566	0.3435781186
567	0.3432458116
568	0.3429084288
569	0.3426898573
570	0.3425607205
571	0.3423853646
572	0.3422485649
573	0.3421341839
574	0.3417238343
575	0.3414253328
576	0.3411791889
577	0.3409882656
578	0.3408050417
579	0.340659248
580	0.3403913826
581	0.3400903328
582	0.3398974248
583	0.3397551131
584	0.3395578809
585	0.3392899005
586	0.3390754613
587	0.3389048307
588	0.3385199875
589	0.3382405481
590	0.3380195363
591	0.3379051417
592	0.3377308673
593	0.3376417929
594	0.3373586831
595	0.33719815
596	0.337083092
597	0.3367771882
598	0.336655964
599	0.336501035
600	0.3363604923
601	0.3362566781
602	0.336150071
603	0.3359529645
604	0.3358286019
605	0.3356211779
606	0.3354775824
607	0.3353271452
608	0.3351405695
609	0.3348901231
610	0.3347563787
611	0.33466719
612	0.3344245868
613	0.3342731154
614	0.3341493913
615	0.3338936198
616	0.333664732
617	0.3334004181
618	0.333244958
619	0.3330710845
620	0.3328546656
621	0.3327047736
622	0.332546617
623	0.3322975838
624	0.3318513447
625	0.3315968023
626	0.3314608698
627	0.3313356442
628	0.3312162049
629	0.3311038486
630	0.3308705249
631	0.3307515839
632	0.3306060212
633	0.3303060918
634	0.3299468317
635	0.329814836
636	0.3296741655
637	0.329441841
638	0.329225892
639	0.3289313879
640	0.3288366734
641	0.3286780367
642	0.3285979403
643	0.3284476238
644	0.3283337923
645	0.328130736
646	0.3279864632
647	0.3277742795
648	0.3276348909
649	0.3274222624
650	0.3272195192
651	0.327049696
652	0.3268473823
653	0.3266531679
654	0.3264261353
655	0.3260094433
656	0.325829847
657	0.3254927748
658	0.325344699
