iter	Passed	Remaining
0	4	4419
1	6	3025
2	7	2525
3	9	2280
4	10	2129
5	12	2030
6	14	1996
7	15	1934
8	17	1874
9	18	1840
10	20	1802
11	21	1774
12	23	1757
13	24	1742
14	26	1722
15	27	1704
16	29	1688
17	30	1673
18	32	1659
19	33	1651
20	35	1644
21	36	1635
22	38	1625
23	39	1619
24	40	1589
25	42	1582
26	43	1576
27	45	1573
28	46	1567
29	48	1559
30	49	1554
31	51	1550
32	52	1545
33	54	1541
34	55	1536
35	57	1541
36	59	1540
37	60	1537
38	62	1534
39	63	1532
40	65	1536
41	67	1532
42	68	1528
43	69	1517
44	71	1516
45	73	1515
46	74	1511
47	75	1501
48	77	1496
49	78	1493
50	80	1492
51	81	1489
52	83	1487
53	84	1483
54	86	1482
55	87	1480
56	89	1476
57	90	1473
58	94	1499
59	95	1498
60	97	1495
61	98	1493
62	100	1492
63	101	1490
64	103	1489
65	105	1487
66	106	1486
67	108	1483
68	109	1483
69	111	1483
70	113	1480
71	114	1478
72	116	1477
73	117	1475
74	119	1474
75	120	1471
76	122	1468
77	124	1466
78	125	1465
79	127	1462
80	127	1452
81	129	1450
82	131	1452
83	133	1451
84	134	1449
85	136	1446
86	137	1440
87	138	1438
88	140	1437
89	142	1438
90	143	1437
91	145	1437
92	147	1435
93	148	1434
94	150	1431
95	151	1430
96	153	1429
97	155	1427
98	156	1426
99	158	1424
100	159	1423
101	160	1416
102	162	1415
103	164	1412
104	165	1411
105	167	1409
106	168	1408
107	170	1405
108	171	1402
109	173	1400
110	174	1399
111	176	1398
112	178	1397
113	179	1393
114	180	1392
115	182	1389
116	183	1384
117	185	1387
118	187	1386
119	188	1384
120	190	1382
121	191	1381
122	193	1379
123	195	1377
124	196	1377
125	198	1375
126	199	1374
127	201	1373
128	203	1371
129	204	1369
130	206	1368
131	207	1367
132	210	1370
133	211	1369
134	213	1367
135	215	1367
136	216	1365
137	218	1363
138	219	1361
139	221	1360
140	223	1360
141	225	1359
142	225	1353
143	227	1352
144	229	1350
145	230	1348
146	231	1345
147	233	1343
148	234	1341
149	236	1340
150	238	1338
151	239	1336
152	241	1334
153	242	1332
154	243	1328
155	245	1327
156	246	1324
157	248	1323
158	249	1321
159	251	1319
160	252	1318
161	254	1317
162	256	1317
163	258	1317
164	260	1317
165	262	1316
166	263	1315
167	265	1313
168	266	1312
169	268	1309
170	269	1307
171	271	1305
172	272	1303
173	274	1301
174	275	1300
175	277	1298
176	278	1296
177	280	1294
178	281	1293
179	283	1290
180	284	1288
181	286	1286
182	287	1284
183	289	1283
184	290	1281
185	292	1279
186	293	1277
187	295	1275
188	296	1273
189	298	1271
190	299	1269
191	301	1267
192	302	1266
193	304	1264
194	305	1262
195	307	1261
196	309	1259
197	310	1257
198	312	1255
199	313	1254
200	315	1252
201	316	1250
202	318	1248
203	319	1246
204	321	1244
205	322	1242
206	324	1242
207	326	1241
208	327	1239
209	329	1237
210	330	1236
211	332	1234
212	333	1232
213	334	1230
214	336	1228
215	338	1227
216	339	1225
217	341	1223
218	342	1221
219	343	1219
220	344	1215
221	346	1213
222	347	1211
223	349	1209
224	350	1208
225	352	1206
226	353	1205
227	355	1203
228	356	1201
229	358	1199
230	359	1197
231	361	1195
232	362	1194
233	364	1192
234	365	1190
235	367	1188
236	368	1185
237	369	1183
238	371	1182
239	372	1180
240	374	1178
241	375	1177
242	377	1175
243	378	1173
244	380	1171
245	382	1170
246	383	1169
247	384	1167
248	386	1165
249	387	1163
250	389	1161
251	390	1159
252	392	1157
253	393	1156
254	395	1154
255	396	1152
256	397	1150
257	399	1148
258	400	1146
259	402	1144
260	403	1143
261	405	1141
262	406	1139
263	408	1137
264	409	1136
265	411	1134
266	412	1132
267	414	1130
268	415	1129
269	417	1127
270	418	1125
271	420	1124
272	421	1122
273	422	1120
274	424	1118
275	425	1117
276	427	1115
277	428	1114
278	430	1112
279	431	1110
280	433	1108
281	434	1107
282	436	1105
283	437	1103
284	439	1102
285	440	1100
286	442	1098
287	443	1097
288	445	1095
289	446	1094
290	448	1092
291	449	1090
292	451	1089
293	452	1087
294	454	1085
295	455	1084
296	457	1082
297	458	1081
298	460	1080
299	462	1079
300	463	1077
301	465	1075
302	466	1074
303	468	1072
304	470	1071
305	471	1069
306	473	1067
307	474	1066
308	476	1065
309	477	1063
310	479	1061
311	480	1060
312	482	1058
313	483	1056
314	485	1055
315	486	1053
316	488	1052
317	489	1050
318	491	1048
319	492	1047
320	494	1045
321	495	1043
322	497	1042
323	498	1040
324	500	1039
325	501	1037
326	503	1036
327	505	1035
328	506	1033
329	508	1031
330	509	1030
331	511	1028
332	512	1027
333	514	1025
334	515	1023
335	517	1022
336	518	1020
337	520	1019
338	521	1017
339	523	1015
340	524	1014
341	526	1012
342	527	1011
343	529	1009
344	530	1007
345	532	1006
346	533	1004
347	535	1002
348	536	1001
349	538	1000
350	540	998
351	542	997
352	543	996
353	545	994
354	546	993
355	548	991
356	549	990
357	551	988
358	552	987
359	554	985
360	555	983
361	557	982
362	558	980
363	560	979
364	562	977
365	563	976
366	565	975
367	567	973
368	570	975
369	572	974
370	573	972
371	575	971
372	576	969
373	578	967
374	579	966
375	581	964
376	582	963
377	584	961
378	585	959
379	587	958
380	588	956
381	590	955
382	591	953
383	593	952
384	595	950
385	596	949
386	598	947
387	600	946
388	601	944
389	602	943
390	604	941
391	606	939
392	607	938
393	608	936
394	610	934
395	611	933
396	613	931
397	614	929
398	616	928
399	617	926
400	618	924
401	620	922
402	621	921
403	623	919
404	625	918
405	626	916
406	627	914
407	629	913
